text,BIO_anno,class
我4星加常年10几个小砖，他拒我76次，最近一年流水大概700多万吧，没见过那个预审批额度出来，我还是白户呢，应该不存在卡多问题，也没有贷款逾期，申什么拒什么，估计没人...,O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ O O O O O O O O O O,0
建行的提额，所有人都很迷糊。,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
七八年了农行还是6千，别的行7万多的都有了,O O O O B-BANK I-BANK O O O O O O O O O O O O O O O,0
恭喜下卡坐等额度,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N,1
额度太低了，小贱提额太难了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
能下就好，我被贱贱拒了四年还在拒,O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ,0
我下卡5千，五年多了，都没有动静。这个额度也是没谁了,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
我第一张是ETC，后面下了支付白，汽车卡，额度也一点没给我提,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
没什么用提额照样拒绝,O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
有房贷征信上能查到吧，或许房产证还能有些用，发票不一定能行，我昨天工行首卡也拒了，也想着重新去线下提供购房发票试试，感觉有点靠不住...,O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0
今天用了，秒批，平安的哦,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O,1
看了建行是你的真爱了！不过建行确实好用！,O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
我打客服电话问了，客服说很多人打电话说储蓄卡被封了，我的也是和你的一样，只能去柜台了,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
你好请问你的钱取出来了吗，哈焦虑,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
早就解封了，平安的还是靠谱的,O O O O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
你好请问你的取出来了吗，我的没有，心烦,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
这次坑定了,O O B-COMMENTS_ADJ O O,0
金卡都被拒了……不知道为啥,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O,0
这不科学，一般人浦发信用卡都是3万额度起呀,O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O,0
基本能过，兴业的卡是非常好批的,O O O O O B-BANK I-BANK O B-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
提前恭祝楼主下卡，下来了，通知一下，我好看看有没有水，好嘛,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,1
这都要拒，贱行真是个奇葩行,O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
主要是你太优秀了，人工审批的那个哥们还是妹子看你不顺眼！你这么好的资质申请个毛的信用卡！所以拒绝你了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
为啥呢，我提额还是比较顺利的啊,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,1
是的，我不能上去，但我怕以后不会怀恨在心。卡,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT,0
如果发送号码正确！那一定就是对了，太开心了吧,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
0.5高了，相当于每天万三的费率！,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O,0
确实都是本地网点打来让办理的，本地网点还是靠谱,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
费率从0.4变成0.25也没推下来！无缘分期通,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,0
并没有，招行的朝朝盈稳健还是可以的,O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,1
我浦发销卡两次，间隔一年半，现在怎么都不批卡了怎么破？,O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O,0
卡很难批。?我申请了15.8的名额，但是两次都没批，只是因为,B-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O,0
去网点。?网点办信用卡很靠谱,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
为啥不是ems用这无语挂号信！邮政储蓄就是坑,O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O B-COMMENTS_ADJ,0
明天就到了，兴业的效率还可以,O O O O O O B-BANK I-BANK O O O O O O,1
不会吧？真的，我当时临时想刷个钱交通死活不同意啊,O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O,0
哈哈哈哈啊哈嘿，我的额度提了一倍,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,1
可以刷，不给刷可以投诉他，保留好发票，降额了可以投诉银行，我一个客户交住院押金4万隔了3个月银行降额，投诉成功，因为他这张卡都是真实消费，我们当地银保监要求银行恢...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,0
各位以后切记不要尝试咯，花费几百大洋测试底线没有必要，还是按照银行的要求来吧，这样不会被坑,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ,0
建行5万后很难提额了，出临时有什么意义呢，和固定没什么关系,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O,0
我做过2次现金分期，特么钱一直在储蓄卡里，发风险短信来说我违规操作。。立马打电话过去怼，现在打过来要办业务的，通通怼回去。恶心...,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0
额度报喜,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,1
看了你帖子大概率要套路。。,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
我有额度就没过，下款才查征信，有一点毛病就拒的你怀疑人生,O O B-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O O O,0
快贷很少套路的，利率还低,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ,0
代发就能过啊？那说明是资质不错的，一般银行都会批信用卡的,O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,1
我昨天申请的已经拒了。如果负债高，查询多信用卡账户也多，就不要去碰瓷了。我打电话问的。这玩意，资质好的秒过，一直不好的别去尝试了。额，又特么浪费一次查询...,O O O O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
每月0.35%，这个利率有点高啊,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O,0
银行利息还可以,O O B-COMMENTS_N I-COMMENTS_N O O O,1
问了个中介说他有办法把快贷申请下来，我不是很相信,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
电话上有说什么费率吗？我感觉是稳的，这个卡办下来是你在帮银行的忙，银行在求你办呢,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O,1
不稳，我去白送了个人头，后续各行血崩,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
是被小黑屋还是怎么滴了？搞得我现在都不想刷建行的卡了,O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT O,0
下卡喜提1800元年费,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N,1
为什么五天了不出结果呢，可能是黄了，招行就是坑,O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O,0
不值钱招行的额度太低,O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,0
查不到。我在银行app里面查不到，打银行电话说也没记录。估计还没提交上去，都半个月了，这个兴业的好坑啊,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
我也是，一次性还款只肯减免违约金3600，利息差不多20000一分不少。我没同意。昨天投诉了，今天来电话要我撤诉，然后他跟总行那边申请减免。我就担心最后还是不给减免，...,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,0
我的现在起诉了，刚刚打电话说还款的事，直接说起诉了。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
楼主，从哪里申请的？这个额度喜人啊,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,1
正因为走了许多路，经历的无数繁华与苍凉，我们才能在时光的流逝中体会岁月的变迁，越来越怀旧了，可能是老...,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
印象特别深，这是我第一张金卡，2008年我办下来了，也是我见过最漂亮的卡，没有之一，金灿灿的龙，看得心醉,O O O O B-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,1
我丢，金融件还敢扔快递柜？除了京东自营与顺丰，我的快递都被扔各网点，但金融件没遇到过，上行通过京东派…邮政储蓄太不靠谱了吧,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,0
恭喜楼主。我预审批10k，网申joy卡才8k，现在还没去激活，纠结,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,1
直接过了，碰瓷大白吧，额度还比较满意,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
多生活消费，勤搬砖，提额飞快！,O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
行数多了下来也不提额，太多行也不好养，我开始注销不会提的行了,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,0
我原来也到不了刷脸这一步，直接拒绝，这次让我刷脸,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,0
这个不算什么，我经常被交通银行客服电话轰炸,O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O,0
提额更难了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
中行都能到19W？这得多优质才行！！！,B-BANK I-BANK O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,1
打电话叫我去办，狗日的，没办下来，说我卡太多，哈哈。当时是15W分期通。,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,0
我去年拒绝了今年也没敢申请,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,0
这个麻烦怎么办？?分期都分不了,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O,0
恭喜提鹅,B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1
不会，我办理了平安的分期通还不错哦,O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
嗯，这点感觉建行系统好落后啊，其他银行好像都是立刻可以看到,O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
这是什么意思？只是提醒？邮政储蓄也太草率了吧,O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O,0
这个提示很温柔，建设还是可以的,O O B-COMMENTS_N B-COMMENTS_N O B-COMMENTS_ADJ B-COMMENTS_ADJ O B-BANK B-BANK O O O O O,1
你要是资金紧张的话分期肯定是划算的，客服打电话来我一般都不鸟她们。自己app上都操作了,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O,0
有的客服说话不过脑子的，像浦发的就是,O O O O O O O O O O O O O B-BANK I-BANK O O O,0
这东西只隔一层纸，一捅就破。难免心直口快。有时候被说的心凉凉的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
太直接了，给农行点赞,O O O O O O B-BANK I-BANK O B-COMMENTS_ADJ,1
刚换资料新户申请，下卡4.5，老卡1，兴奋！,O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
恭喜恭喜！??我激活一年了，还没首提！??你总共有几行卡啊？招商每个月剩多少在卡里呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O B-PRODUCT O O,1
秒转呗。不过有时候建行会秒扣，。。。可坑的是建行逾期久了也不会变呆账。lx会一直涨。,O O O O O O O O O B-BANK I-BANK O O O O O O O O B-COMMENTS_ADJ O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ O,0
这样推建行，真是爱了。,O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
小贱太特么抠门了，区区几十万积分就这副嘴脸。,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O,0
就是特恶心的银行，信用卡我都没用也月月贷后有时候一个月还两次,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,0
这有什么说法吗？不应该是银行官方说么，太坑了吧,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,0
开撸B卡可以参加云闪付数字卡礼遇活动，10元还款券+30元支付立减券+视频季卡一张美滋滋,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,1
不错不错我只买了1w3左右但愿也能早点刷出早日批卡,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT,1
这额度用来买菜吗,O B-COMMENTS_N I-COMMENTS_N O O O O O,0
牛二个月没有了，心累啊,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
我已经下来了！审批通过了，预审批没用了,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,1
你想giao哪一个，工商银行的信用卡都不错,O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
他会送你一个新的卡?你也可以主动改变?应该是可以的，这个看自己需求吧，我觉得不错,O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
这个我看是到期本息一起还？？这靠谱啊,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1
催得猛么我想问爆通讯录不？？,O O B-COMMENTS_ADJ O O O O O O O O O O O,0
平安的备用金太坑别用，我提前还了扣了3%，打电话怼回来了,B-BANK I-BANK O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O,0
我后悔了早知道上个月学你这样信用卡额度早提固定了。唉,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,0
就2万??菜卡，浦发,O O O O O B-PRODUCT I-PRODUCT O B-BANK I-BANK,0
我的菜卡红字还提额失败了,O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
为啥销？理由，额度低呗,O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O,0
前几天能查到，29号以后0532地区也查不到了，是什么情况啊，太难了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
貌似即使不达标星级最撇也会保持在4星？应该是的，工商的星际就保持的不错,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,1
楼主，解决了吗？我的跟你一样，好操心,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
这些要怎么提交？线下找客户经理提交？有点难哦,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,0
我半年内就一个查询，今天本来想申请的，还是没敢申，怕过不了，好难,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
估计信用信息还没查，这个浦发效率有点低压,O O O O O O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ O,0
请问这种鸡怎么截屏的啊，完全搞不懂，心累,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
申卡不是100%，所以也不要掉以轻心,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
无卡通道是什么，怎么申请的，我也想搞，不知道在哪里，心累啊,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
大山白不好推，要么硬资质或者砖达标，以前砖达标不是难事现在已经没啥砖了，或者额度达到8万申请二卡就...,B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,0
不错不错提额方面有什么心得体会吗想学习一下,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,1
恭喜，慢慢养卡。,B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT O,1
建行生活也不错,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
Cut卡为什么！我们农行是三级卡！太过分了！切两个！如果现在不影响，可以取消存款卡??,O O O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,0
好吧，那真的很奇怪，刚放钱就审批，不放就一直是正在审批中，也是很无语,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,0
广州银行标白83k，嘎嘎嘎开心,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1
以前七行的时候提过两次，后来九行的时候就没提过了，快两年了没有一次贷后，感觉银行不指望了，不靠谱,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
我傻逼的打过去想解除风控！,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,0
